2022 Federal Election Senate First Preferences By Division By Candidate By Vote Type  [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:16 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,Group,BallotPosition,CandidateID,CandidateDetails,PartyName,PartyAb,Elected,HistoricElected,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
ACT,318,Bean,A,0,37878,A Above-the-line Votes,Australian Labor Party,ALP,N,N,22966,391,156,695,2510,26718
ACT,318,Bean,A,1,36044,"GALLAGHER, Katy",Australian Labor Party,ALP,Y,Y,5097,81,22,113,441,5754
ACT,318,Bean,A,2,36045,"NORTHAM, Maddy",Australian Labor Party,ALP,N,N,144,5,0,7,17,173
ACT,318,Bean,B,0,37876,B Above-the-line Votes,Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,N,N,336,11,2,20,58,427
ACT,318,Bean,B,1,37241,"ANGEL, Joy",Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,N,N,71,4,1,5,15,96
ACT,318,Bean,B,2,37248,"HAYDON, John",Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,N,N,26,0,0,1,4,31
ACT,318,Bean,C,0,37873,C Above-the-line Votes,United Australia Party,UAPP,N,N,1733,59,13,87,135,2027
ACT,318,Bean,C,1,36097,"SAVOULIDIS, James",United Australia Party,UAPP,N,N,268,4,1,10,16,299
ACT,318,Bean,C,2,36098,"PAGE, Tracey",United Australia Party,UAPP,N,N,43,3,0,2,4,52
ACT,318,Bean,D,0,37881,D Above-the-line Votes,Liberal,LP,N,N,20919,361,133,701,2344,24458
ACT,318,Bean,D,1,37184,"SESELJA, Zed",Liberal,LP,N,Y,1813,34,20,50,174,2091
ACT,318,Bean,D,2,37189,"LAM, Kacey",Liberal,LP,N,N,344,6,1,15,59,425
ACT,318,Bean,E,0,37875,E Above-the-line Votes,David Pocock,DAVI,N,N,14165,333,85,284,1138,16005
ACT,318,Bean,E,1,35953,"POCOCK, David",David Pocock,DAVI,Y,N,4539,89,28,94,380,5130
ACT,318,Bean,E,2,35954,"DOUBE, Clare",David Pocock,DAVI,N,N,31,0,0,0,4,35
ACT,318,Bean,F,0,37871,F Above-the-line Votes,Kim for Canberra,KCBR,N,N,2222,43,16,43,235,2559
ACT,318,Bean,F,1,36889,"RUBENSTEIN, Kim",Kim for Canberra,KCBR,N,N,1112,14,3,21,125,1275
ACT,318,Bean,F,2,36891,"HUYNH, Kim",Kim for Canberra,KCBR,N,N,27,0,0,4,3,34
ACT,318,Bean,G,0,37880,G Above-the-line Votes,Australian Progressives,AUP,N,N,103,2,3,7,27,142
ACT,318,Bean,G,1,37384,"FAULKNER, Therese",Australian Progressives,AUP,N,N,57,0,1,1,5,64
ACT,318,Bean,G,2,37386,"LIN, Stephen",Australian Progressives,AUP,N,N,6,0,0,1,0,7
ACT,318,Bean,H,0,37879,H Above-the-line Votes,The Greens,GRN,N,N,5634,186,51,261,614,6746
ACT,318,Bean,H,1,36071,"GORENG GORENG, Tjanara",The Greens,GRN,N,N,1145,33,6,43,76,1303
ACT,318,Bean,H,2,36072,"CRUZ, James",The Greens,GRN,N,N,133,7,1,9,11,161
ACT,318,Bean,I,0,37872,I Above-the-line Votes,Legalise Cannabis Australia,HMP,N,N,1438,47,11,73,83,1652
ACT,318,Bean,I,1,36089,"KATELARIS, Andrew",Legalise Cannabis Australia,HMP,N,N,149,4,1,7,9,170
ACT,318,Bean,I,2,36092,"STANVIC, Michelle",Legalise Cannabis Australia,HMP,N,N,26,2,0,1,0,29
ACT,318,Bean,J,0,37874,J Above-the-line Votes,Animal Justice Party,AJP,N,N,468,14,6,29,81,598
ACT,318,Bean,J,1,36246,"del VALLE, Yana",Animal Justice Party,AJP,N,N,68,3,0,3,5,79
ACT,318,Bean,J,2,36251,"FAHIZ, Jannah",Animal Justice Party,AJP,N,N,9,0,0,2,2,13
ACT,318,Bean,K,0,37877,K Above-the-line Votes,Informed Medical Options Party,IMO,N,N,372,8,4,13,42,439
ACT,318,Bean,K,1,36260,"SIMMS, Michael",Informed Medical Options Party,IMO,N,N,85,3,0,1,18,107
ACT,318,Bean,K,2,36279,"LIDDICOAT, Mary-Jane",Informed Medical Options Party,IMO,N,N,24,1,0,0,2,27
ACT,318,Bean,UG,1,36976,"LI, Fuxin",Independent,IND,N,N,119,6,0,2,16,143
ACT,101,Canberra,A,0,37878,A Above-the-line Votes,Australian Labor Party,ALP,N,N,19512,438,150,998,2652,23750
ACT,101,Canberra,A,1,36044,"GALLAGHER, Katy",Australian Labor Party,ALP,Y,Y,5866,88,49,213,659,6875
ACT,101,Canberra,A,2,36045,"NORTHAM, Maddy",Australian Labor Party,ALP,N,N,175,4,1,8,25,213
ACT,101,Canberra,B,0,37876,B Above-the-line Votes,Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,N,N,262,9,2,31,79,383
ACT,101,Canberra,B,1,37241,"ANGEL, Joy",Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,N,N,91,5,2,4,18,120
ACT,101,Canberra,B,2,37248,"HAYDON, John",Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,N,N,13,0,0,1,5,19
ACT,101,Canberra,C,0,37873,C Above-the-line Votes,United Australia Party,UAPP,N,N,926,42,15,81,102,1166
ACT,101,Canberra,C,1,36097,"SAVOULIDIS, James",United Australia Party,UAPP,N,N,166,3,1,13,23,206
ACT,101,Canberra,C,2,36098,"PAGE, Tracey",United Australia Party,UAPP,N,N,18,3,1,2,4,28
ACT,101,Canberra,D,0,37881,D Above-the-line Votes,Liberal,LP,N,N,13756,278,100,771,2249,17154
ACT,101,Canberra,D,1,37184,"SESELJA, Zed",Liberal,LP,N,Y,1258,39,6,76,173,1552
ACT,101,Canberra,D,2,37189,"LAM, Kacey",Liberal,LP,N,N,324,4,2,19,60,409
ACT,101,Canberra,E,0,37875,E Above-the-line Votes,David Pocock,DAVI,N,N,13306,330,101,529,1401,15667
ACT,101,Canberra,E,1,35953,"POCOCK, David",David Pocock,DAVI,Y,N,5262,117,32,192,514,6117
ACT,101,Canberra,E,2,35954,"DOUBE, Clare",David Pocock,DAVI,N,N,22,2,0,0,9,33
ACT,101,Canberra,F,0,37871,F Above-the-line Votes,Kim for Canberra,KCBR,N,N,3154,52,21,87,415,3729
ACT,101,Canberra,F,1,36889,"RUBENSTEIN, Kim",Kim for Canberra,KCBR,N,N,1797,17,7,48,176,2045
ACT,101,Canberra,F,2,36891,"HUYNH, Kim",Kim for Canberra,KCBR,N,N,54,1,1,4,12,72
ACT,101,Canberra,G,0,37880,G Above-the-line Votes,Australian Progressives,AUP,N,N,124,6,0,12,36,178
ACT,101,Canberra,G,1,37384,"FAULKNER, Therese",Australian Progressives,AUP,N,N,64,1,1,7,9,82
ACT,101,Canberra,G,2,37386,"LIN, Stephen",Australian Progressives,AUP,N,N,18,0,0,1,4,23
ACT,101,Canberra,H,0,37879,H Above-the-line Votes,The Greens,GRN,N,N,7922,189,73,540,1030,9754
ACT,101,Canberra,H,1,36071,"GORENG GORENG, Tjanara",The Greens,GRN,N,N,2039,48,11,79,218,2395
ACT,101,Canberra,H,2,36072,"CRUZ, James",The Greens,GRN,N,N,159,2,0,8,13,182
ACT,101,Canberra,I,0,37872,I Above-the-line Votes,Legalise Cannabis Australia,HMP,N,N,734,41,11,74,78,938
ACT,101,Canberra,I,1,36089,"KATELARIS, Andrew",Legalise Cannabis Australia,HMP,N,N,83,2,0,5,8,98
ACT,101,Canberra,I,2,36092,"STANVIC, Michelle",Legalise Cannabis Australia,HMP,N,N,17,0,0,1,3,21
ACT,101,Canberra,J,0,37874,J Above-the-line Votes,Animal Justice Party,AJP,N,N,349,15,3,17,69,453
ACT,101,Canberra,J,1,36246,"del VALLE, Yana",Animal Justice Party,AJP,N,N,96,2,3,3,6,110
ACT,101,Canberra,J,2,36251,"FAHIZ, Jannah",Animal Justice Party,AJP,N,N,11,1,0,1,0,13
ACT,101,Canberra,K,0,37877,K Above-the-line Votes,Informed Medical Options Party,IMO,N,N,249,13,4,17,37,320
ACT,101,Canberra,K,1,36260,"SIMMS, Michael",Informed Medical Options Party,IMO,N,N,66,2,0,3,9,80
ACT,101,Canberra,K,2,36279,"LIDDICOAT, Mary-Jane",Informed Medical Options Party,IMO,N,N,22,1,0,4,4,31
ACT,101,Canberra,UG,1,36976,"LI, Fuxin",Independent,IND,N,N,149,5,0,7,11,172
ACT,102,Fenner,A,0,37878,A Above-the-line Votes,Australian Labor Party,ALP,N,N,22805,420,169,688,2359,26441
ACT,102,Fenner,A,1,36044,"GALLAGHER, Katy",Australian Labor Party,ALP,Y,Y,4470,88,24,98,412,5092
