Division,State,Party,Primary Vote,Name,Gender
Bean,ACT,UAPP,0.027944210287338737,Sean Conway,MANUAL
Bean,ACT,ON,0.026453720794796118,Benjamin Ambard,MANUAL
Bean,ACT,ALP,0.40529469247549577,David Smith,MANUAL
Bean,ACT,GRN,0.14370885113859577,Kathryn jane Savery,MANUAL
Bean,ACT,LP,0.2886318096121766,Jane Hiatt,MANUAL
Canberra,ACT,UAPP,0.017948717948717947,Catherine Smith,MANUAL
Canberra,ACT,ON,0.01628896691137355,James Miles,MANUAL
Canberra,ACT,LP,0.2138738163634429,Slade Minson,MANUAL
Canberra,ACT,GRN,0.24252580061708692,Tim Hollo,MANUAL
Canberra,ACT,ALP,0.4408447707202894,Alicia Payne,MANUAL
Fenner,ACT,ALP,0.4700790926727354,Andrew Leigh,MANUAL
Fenner,ACT,LP,0.2709190525934296,Nathan Kuster,MANUAL
Fenner,ACT,UAPP,0.025006928603406742,Timothy peter Elton,MANUAL
Fenner,ACT,ON,0.025785064062933037,Lucia Grant,MANUAL
Fenner,ACT,GRN,0.16302470846568742,Natasa Sojic,MANUAL
Banks,NSW,LP,0.42215122470713523,David Coleman,MANUAL
Banks,NSW,UAPP,0.05119935087986206,Marika Momircevski,MANUAL
Banks,NSW,GRN,0.08177899487803642,Natalie Hanna,MANUAL
Banks,NSW,ON,0.02665449566408033,Malcolm phillip Heffernan,MANUAL
Banks,NSW,ALP,0.32921547745828894,Zhi Soon,MANUAL
Barton,NSW,ALP,0.4665953063779941,Linda Burney,MANUAL
Barton,NSW,UAPP,0.056660742416286304,Dimitri Honos,MANUAL
Barton,NSW,GRN,0.11553298057115159,Taylor Vandijk,MANUAL
Barton,NSW,LP,0.2422749121460597,John Goody,MANUAL
Barton,NSW,ON,0.044159227693177684,Phillip Pollard,MANUAL
Bennelong,NSW,GRN,0.10772561402181928,Tony Adams,MANUAL
Bennelong,NSW,LP,0.38955170262247346,Simon Kennedy,MANUAL
Bennelong,NSW,UAPP,0.027557715214884003,Rhys ian Collyer,MANUAL
Bennelong,NSW,ON,0.015731059388530696,Victor Waterson,MANUAL
Bennelong,NSW,ALP,0.35542362305961545,Jerome Laxale,MANUAL
Berowra,NSW,GRN,0.14625360955437725,Tania Salitra,MANUAL
Berowra,NSW,ON,0.029902705530793147,Rhiannon Bosma,MANUAL
Berowra,NSW,LP,0.46078539878658603,Julian Leeser,MANUAL
Berowra,NSW,ALP,0.2087353731298232,Benson Koschinski,MANUAL
Berowra,NSW,UAPP,0.02329231605107205,Christopher Martinic,MANUAL
Blaxland,NSW,ON,0.04828475005733882,Adam Stepanoff,MANUAL
Blaxland,NSW,LP,0.2409213529777962,Oz Guney,MANUAL
Blaxland,NSW,GRN,0.056650757418551564,Linda Eisler,MANUAL
Blaxland,NSW,ALP,0.4904380686099977,Jason Clare,MANUAL
Blaxland,NSW,UAPP,0.05575517960703793,Elvis Sinosic,MANUAL
Bradfield,NSW,ALP,0.16848086124401915,David gordon Brigden,MANUAL
Bradfield,NSW,GRN,0.08931419457735247,Martin Cousins,MANUAL
