Division,State,Party,Primary Vote,Name,Gender
Bean,ACT,UAPP,0.02794421,Sean Conway,1
Bean,ACT,ON,0.026453721,Benjamin Ambard,1
Bean,ACT,ALP,0.405294692,David Smith,1
Bean,ACT,GRN,0.143708851,Kathryn jane Savery,0
Bean,ACT,LP,0.28863181,Jane Hiatt,0
Canberra,ACT,UAPP,0.017948718,Catherine Smith,0
Canberra,ACT,ON,0.016288967,James Miles,1
Canberra,ACT,LP,0.213873816,Slade Minson,1
Canberra,ACT,GRN,0.242525801,Tim Hollo,1
Canberra,ACT,ALP,0.440844771,Alicia Payne,0
Fenner,ACT,ALP,0.470079093,Andrew Leigh,1
Fenner,ACT,LP,0.270919053,Nathan Kuster,1
Fenner,ACT,UAPP,0.025006929,Timothy peter Elton,1
Fenner,ACT,ON,0.025785064,Lucia Grant,0
Fenner,ACT,GRN,0.163024708,Natasa Sojic,0
Banks,NSW,LP,0.422151225,David Coleman,1
Banks,NSW,UAPP,0.051199351,Marika Momircevski,0
Banks,NSW,GRN,0.081778995,Natalie Hanna,0
Banks,NSW,ON,0.026654496,Malcolm phillip Heffernan,1
Banks,NSW,ALP,0.329215477,Zhi Soon,1
Barton,NSW,ALP,0.466595306,Linda Burney,0
Barton,NSW,UAPP,0.056660742,Dimitri Honos,1
Barton,NSW,GRN,0.115532981,Taylor Vandijk,0
Barton,NSW,LP,0.242274912,John Goody,1
Barton,NSW,ON,0.044159228,Phillip Pollard,1
Bennelong,NSW,GRN,0.107725614,Tony Adams,1
Bennelong,NSW,LP,0.389551703,Simon Kennedy,1
Bennelong,NSW,UAPP,0.027557715,Rhys ian Collyer,1
Bennelong,NSW,ON,0.015731059,Victor Waterson,1
Bennelong,NSW,ALP,0.355423623,Jerome Laxale,1
Berowra,NSW,GRN,0.14625361,Tania Salitra,0
Berowra,NSW,ON,0.029902706,Rhiannon Bosma,0
Berowra,NSW,LP,0.460785399,Julian Leeser,1
Berowra,NSW,ALP,0.208735373,Benson Koschinski,1
Berowra,NSW,UAPP,0.023292316,Christopher Martinic,1
Blaxland,NSW,ON,0.04828475,Adam Stepanoff,1
Blaxland,NSW,LP,0.240921353,Oz Guney,1
Blaxland,NSW,GRN,0.056650757,Linda Eisler,0
Blaxland,NSW,ALP,0.490438069,Jason Clare,1
Blaxland,NSW,UAPP,0.05575518,Elvis Sinosic,1
Bradfield,NSW,ALP,0.168480861,David gordon Brigden,1
Bradfield,NSW,GRN,0.089314195,Martin Cousins,1
Bradfield,NSW,UAPP,0.024880383,Rob Fletcher,1
Bradfield,NSW,LP,0.434230463,Paul Fletcher,1
Bradfield,NSW,ON,0.015629984,Michael Lowe,1
Calare,NSW,ON,0.081029578,Stacey Whittaker,0
Calare,NSW,GRN,0.04375794,Kay Nankervis,0
Calare,NSW,ALP,0.14540054,Sarah Elliott,0
Calare,NSW,NP,0.457718253,Andrew Gee,1
Calare,NSW,UAPP,0.036385922,Adam john Jannis,1
Chifley,NSW,ON,0.056572286,Amit Batish,1
Chifley,NSW,UAPP,0.048274892,Zvetanka Raskov,0
Chifley,NSW,GRN,0.052709544,Sujan Selventhiran,1
Chifley,NSW,LP,0.22544534,Jugandeep Singh,1
Chifley,NSW,ALP,0.480367523,Ed Husic,1
Cook,NSW,ON,0.048722084,Gaye Cameron,0
Cook,NSW,GRN,0.094658652,Catherine Dyson,0
Cook,NSW,LP,0.530928994,Scott Morrison,1
Cook,NSW,UAPP,0.042818746,Jacqueline Guinane,0
Cook,NSW,ALP,0.238909251,Simon Earle,1
Cowper,NSW,ON,0.077320821,Faye Aspiotis,0
Cowper,NSW,ALP,0.133035913,Keith Mcmullen,1
Cowper,NSW,NP,0.375271354,Pat Conaghan,1
Cowper,NSW,UAPP,0.022853529,Joshua stephen Fairhall,1
Cowper,NSW,GRN,0.055706545,Timothy Nott,1
Cunningham,NSW,LP,0.237141391,Marcus Uren,1
Cunningham,NSW,UAPP,0.04605122,Ben Britton,1
Cunningham,NSW,ALP,0.380491673,Alison Byrnes,0
Cunningham,NSW,GRN,0.205355227,Dylan Green,1
Cunningham,NSW,ON,0.048682185,Thomas Grogan,1
Dobell,NSW,UAPP,0.035800351,Dean james Mackin,1
Dobell,NSW,LP,0.321396758,Michael Feneley,1
Dobell,NSW,GRN,0.081577541,Cath Connor,0
Dobell,NSW,ON,0.071103735,Martin Stevenson,1
