Division,State,Party,Senate Vote
Bean,ACT,ALP,0.3288539221710705
Bean,ACT,GRN,0.08270457040969487
Bean,ACT,L/NP,0.2717263193947758
Bean,ACT,UAPP,0.023955111867753277
Canberra,ACT,ALP,0.3267152604144595
Canberra,ACT,GRN,0.13064160698393865
Canberra,ACT,L/NP,0.20251515023096156
Canberra,ACT,UAPP,0.014832393948383269
Fenner,ACT,ALP,0.3462319790301442
Fenner,ACT,GRN,0.09631935342944517
Fenner,ACT,L/NP,0.26922236784622106
Fenner,ACT,UAPP,0.025491480996068152
Banks,NSW,ALP,0.34029910605916686
Banks,NSW,GRN,0.08535182429366009
Banks,NSW,L/NP,0.3914447645885445
Banks,NSW,ON,0.03145151927724831
Banks,NSW,UAPP,0.045182534908020135
Barton,NSW,ALP,0.40083079244000125
Barton,NSW,GRN,0.12532004632039692
Barton,NSW,L/NP,0.2742783685871217
Barton,NSW,ON,0.034336587801587215
Barton,NSW,UAPP,0.04749965472181202
Bennelong,NSW,ALP,0.3414443457781553
Bennelong,NSW,GRN,0.12251457472684453
Bennelong,NSW,L/NP,0.39299640940504227
Bennelong,NSW,ON,0.01736419443264739
Bennelong,NSW,UAPP,0.025597467279255628
Berowra,NSW,ALP,0.2317392338805615
Berowra,NSW,GRN,0.14957225170426922
Berowra,NSW,L/NP,0.4599716558565828
Berowra,NSW,ON,0.026926936246366467
Berowra,NSW,UAPP,0.02503387849258811
Blaxland,NSW,ALP,0.45695255517249467
Blaxland,NSW,GRN,0.05979267806468257
Blaxland,NSW,L/NP,0.28253476863903937
Blaxland,NSW,ON,0.031004479467154483
Blaxland,NSW,UAPP,0.05185393653697319
Bradfield,NSW,ALP,0.24502265690676836
Bradfield,NSW,GRN,0.15228311906665848
Bradfield,NSW,L/NP,0.4516515962354678
Bradfield,NSW,ON,0.013122552336429436
Bradfield,NSW,UAPP,0.020114412253183243
Calare,NSW,ALP,0.22228100462215292
Calare,NSW,GRN,0.07787121085556237
Calare,NSW,L/NP,0.4161793915093464
Calare,NSW,ON,0.06833918063522118
Calare,NSW,UAPP,0.03023890404856045
Chifley,NSW,ALP,0.41210750453369194
Chifley,NSW,GRN,0.06248344438331602
Chifley,NSW,L/NP,0.297481508649673
Chifley,NSW,ON,0.04033457627809361
Chifley,NSW,UAPP,0.049840047272653176
Cook,NSW,ALP,0.22622914550629028
Cook,NSW,GRN,0.0903569022214624
Cook,NSW,L/NP,0.510876014441014
Cook,NSW,ON,0.03377950301189674
Cook,NSW,UAPP,0.038164100604390634
Cowper,NSW,ALP,0.23121463932107497
Cowper,NSW,GRN,0.1134016973125884
Cowper,NSW,L/NP,0.4016973125884017
Cowper,NSW,ON,0.06444483734087694
Cowper,NSW,UAPP,0.025636492220650637
Cunningham,NSW,ALP,0.35036789681666397
Cunningham,NSW,GRN,0.1937270961507181
Cunningham,NSW,L/NP,0.24988278970080277
Cunningham,NSW,ON,0.03860763732741381
Cunningham,NSW,UAPP,0.034378498368624
Dobell,NSW,ALP,0.3295748111026941
Dobell,NSW,GRN,0.08873803002933008
Dobell,NSW,L/NP,0.348406270030884
Dobell,NSW,ON,0.061729114464969016
Dobell,NSW,UAPP,0.03123361109492454
Eden-Monaro,NSW,ALP,0.3080921553693831
Eden-Monaro,NSW,GRN,0.11146230007616147
Eden-Monaro,NSW,L/NP,0.36923076923076925
Eden-Monaro,NSW,ON,0.03860434120335111
Eden-Monaro,NSW,UAPP,0.024076542269611576
Farrer,NSW,ALP,0.19299256612689447
Farrer,NSW,GRN,0.07387771566876045
Farrer,NSW,L/NP,0.4707639409131946
Farrer,NSW,ON,0.061900920109875336
Farrer,NSW,UAPP,0.028486909083924008
Fowler,NSW,ALP,0.3770359583286658
Fowler,NSW,GRN,0.06115156267503081
Fowler,NSW,L/NP,0.29786042343452446
Fowler,NSW,ON,0.03501736305589784
Fowler,NSW,UAPP,0.06773832194466226
Gilmore,NSW,ALP,0.29317922551091696
Gilmore,NSW,GRN,0.11859640434732625
Gilmore,NSW,L/NP,0.3840521396167349
Gilmore,NSW,ON,0.043756245523120595
Gilmore,NSW,UAPP,0.026998346318125945
Grayndler,NSW,ALP,0.41119366022783554
Grayndler,NSW,GRN,0.2758791480931154
Grayndler,NSW,L/NP,0.17761267954432888
Grayndler,NSW,ON,0.012382367508667657
Grayndler,NSW,UAPP,0.015027241208519069
Greenway,NSW,ALP,0.3622427440633245
Greenway,NSW,GRN,0.07954265611257695
Greenway,NSW,L/NP,0.373438874230431
Greenway,NSW,ON,0.029683377308707123
Greenway,NSW,UAPP,0.03461741424802111
Hughes,NSW,ALP,0.2678669125245689
Hughes,NSW,GRN,0.09626957913720087
Hughes,NSW,L/NP,0.4422504103260319
Hughes,NSW,ON,0.031346882535308304
Hughes,NSW,UAPP,0.04436586897935199
Hume,NSW,ALP,0.2257951925638129
Hume,NSW,GRN,0.0694111487696674
Hume,NSW,L/NP,0.43046485354495606
Hume,NSW,ON,0.07021942997804782
Hume,NSW,UAPP,0.04409725092539013
Hunter,NSW,ALP,0.32689407796703934
Hunter,NSW,GRN,0.07309521472611602
Hunter,NSW,L/NP,0.3143219151802843
Hunter,NSW,ON,0.07441578257028901
Hunter,NSW,UAPP,0.03756480151329937
Kingsford Smith,NSW,ALP,0.3664519692650642
Kingsford Smith,NSW,GRN,0.16883501178698598
Kingsford Smith,NSW,L/NP,0.3037688764388507
Kingsford Smith,NSW,ON,0.023751516526439344
Kingsford Smith,NSW,UAPP,0.028397265813795213
Lindsay,NSW,ALP,0.27971389017074294
Lindsay,NSW,GRN,0.0707152745731426
Lindsay,NSW,L/NP,0.41574526995846794
Lindsay,NSW,ON,0.0529026303645593
Lindsay,NSW,UAPP,0.03778495616059068
Lyne,NSW,ALP,0.22054569124507287
Lyne,NSW,GRN,0.08100386938126063
Lyne,NSW,L/NP,0.4369779047481286
Lyne,NSW,ON,0.06974830940585108
Lyne,NSW,UAPP,0.03413734495353126
Macarthur,NSW,ALP,0.3536232632611952
Macarthur,NSW,GRN,0.062169653771327237
Macarthur,NSW,L/NP,0.33409947833273074
Macarthur,NSW,ON,0.05916533236919581
Macarthur,NSW,UAPP,0.05418969405850249
Mackellar,NSW,ALP,0.20273975344220302
Mackellar,NSW,GRN,0.1607028498238873
Mackellar,NSW,L/NP,0.4502781780339417
Mackellar,NSW,ON,0.023585094460454693
Mackellar,NSW,UAPP,0.027297470381043867
Macquarie,NSW,ALP,0.30972171291203193
Macquarie,NSW,GRN,0.1255958929226256
Macquarie,NSW,L/NP,0.35834046367599726
Macquarie,NSW,ON,0.043281179969848836
Macquarie,NSW,UAPP,0.030344701136780346
McMahon,NSW,ALP,0.36097122915506247
McMahon,NSW,GRN,0.05696195337099726
McMahon,NSW,L/NP,0.32954041672823997
McMahon,NSW,ON,0.0458901228814041
McMahon,NSW,UAPP,0.06799968171329188
Mitchell,NSW,ALP,0.24723552662171588
Mitchell,NSW,GRN,0.10486863520111601
Mitchell,NSW,L/NP,0.49521506626365963
Mitchell,NSW,ON,0.025594047895838176
Mitchell,NSW,UAPP,0.028663101604278075
New England,NSW,ALP,0.19350257056552442
New England,NSW,GRN,0.07528656304386964
New England,NSW,L/NP,0.45236952129468483
New England,NSW,ON,0.05581227870131429
New England,NSW,UAPP,0.026925923703214706
Newcastle,NSW,ALP,0.37351591454610666
Newcastle,NSW,GRN,0.19340242971573612
Newcastle,NSW,L/NP,0.24780893348170355
Newcastle,NSW,ON,0.03524099432575848
Newcastle,NSW,UAPP,0.019689710034302952
North Sydney,NSW,ALP,0.28493543758967
North Sydney,NSW,GRN,0.16901004304160688
North Sydney,NSW,L/NP,0.39937663879681395
North Sydney,NSW,ON,0.011665759659624993
North Sydney,NSW,UAPP,0.016187602038292188
Page,NSW,ALP,0.23164738029305507
Page,NSW,GRN,0.1288213611106017
Page,NSW,L/NP,0.3928276696803536
Page,NSW,ON,0.058913605604357315
Page,NSW,UAPP,0.029241321131874783
Parkes,NSW,ALP,0.20726026953129223
Parkes,NSW,GRN,0.04545503669040646
Parkes,NSW,L/NP,0.4426624590677719
Parkes,NSW,ON,0.06718829365293794
Parkes,NSW,UAPP,0.024618776410067978
Parramatta,NSW,ALP,0.38118563874199834
Parramatta,NSW,GRN,0.08920679098246591
Parramatta,NSW,L/NP,0.34785416086835513
Parramatta,NSW,ON,0.026930141942666297
Parramatta,NSW,UAPP,0.04015585861397161
Paterson,NSW,ALP,0.33669568818976453
Paterson,NSW,GRN,0.07729677024100232
Paterson,NSW,L/NP,0.34006091931211224
Paterson,NSW,ON,0.06361149701012157
Paterson,NSW,UAPP,0.031900665280306495
Reid,NSW,ALP,0.36620644312952005
Reid,NSW,GRN,0.1095606778729626
Reid,NSW,L/NP,0.37733423611724415
Reid,NSW,ON,0.021578498042332715
Reid,NSW,UAPP,0.025307388108765837
Richmond,NSW,ALP,0.2518409001449679
Richmond,NSW,GRN,0.21332360480410134
Richmond,NSW,L/NP,0.314570712646768
